Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,ID
Trujet,6/03/2019,Mumbai,Hyderabad,BOM → NDC → HYD,13:05,16:20,3h 15m,1 stop,No info,4140,2878
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BDQ → DEL,05:50,12:20,6h 30m,1 stop,Business class,28097,3032
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,15:15,9h 30m,1 stop,No info,26890,3257
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,16:10,10h 25m,1 stop,No info,26890,826
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,18:25,12h 40m,1 stop,No info,26890,7537
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,19:10,13h 25m,1 stop,No info,27992,946
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,20:20,14h 35m,1 stop,No info,27992,4829
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,21:20,15h 35m,1 stop,No info,27992,9632
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,05:05 02 Mar,22h 5m,1 stop,No info,26890,10383
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,12:25,5h 25m,1 stop,No info,26890,510
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1 stop,No info,26890,10113
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,15:15,8h 15m,1 stop,No info,26890,7756
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,16:10,9h 10m,1 stop,No info,26890,2635
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,18:25,11h 25m,1 stop,No info,26890,7713
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,20:20,13h 20m,1 stop,No info,27992,10189
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,21:20,14h 20m,1 stop,No info,27992,6605
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05 02 Mar,21h 5m,1 stop,No info,22270,7
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,07:40 02 Mar,23h 40m,1 stop,No info,22270,9044
